title:This is a collection of influential celebrities who have remained silent on the war in Gaza.
description:On social networks, calls to block the accounts of influential celebrities are intensifying, a movement which aims to sanction stars who have remained silent on the war in Gaza. On TikTok, the hashtag “blockout2024” had more than 30,000 publications on Monday. Videos listing the names of gala guests and other “unfollow” personalities attracted thousands of “likes”.
instagramblocklist:id=11830955;name=taylorswift
instagramblocklist:id=7719696;name=arianagrande
instagramblocklist:id=9777455;name=zendaya
instagramblocklist:id=247944034;name=beyonce
instagramblocklist:id=6590609;name=kevinhart4real
instagramblocklist:id=12281817;name=kyliejenner
instagramblocklist:id=460563723;name=selenagomez
instagramblocklist:id=407964088;name=katyperry
instagramblocklist:id=6860189;name=justinbieber
instagramblocklist:id=208560325;name=khloekardashian
instagramblocklist:id=787132;name=natgeo
instagramblocklist:id=145821237;name=kourtneykardash
instagramblocklist:id=232192182;name=therock
instagramblocklist:id=451573056;name=nickiminaj
instagramblocklist:id=6380930;name=kendalljenner
instagramblocklist:id=13460080;name=nike
instagramblocklist:id=18428658;name=kimkardashian
instagramblocklist:id=1436859892;name=iamcardib
instagramblocklist:id=325734299;name=mileycyrus
instagramblocklist:id=537986842;name=rachelfeinstein_
instagramblocklist:id=360623230;name=gayleking
instagramblocklist:id=61932685017;name=bwaygatsby
instagramblocklist:id=187192792;name=mrmayo
instagramblocklist:id=48291790;name=merk2577
instagramblocklist:id=146001379;name=feid
instagramblocklist:id=46882935;name=itsyoungmiko
instagramblocklist:id=205582553;name=michellewiewest
instagramblocklist:id=242061899;name=jbayleaf
instagramblocklist:id=5405460985;name=realstraykids
instagramblocklist:id=7555881;name=charlieputh
instagramblocklist:id=21626248;name=universalorlando
instagramblocklist:id=20944806;name=m_phelps00
instagramblocklist:id=51304171767;name=tsierraauthor
instagramblocklist:id=25657647;name=laufey
instagramblocklist:id=53801813374;name=lin_manuel
instagramblocklist:id=64002691765;name=stereophonicplay
instagramblocklist:id=8728321541;name=itsmelauralinney
instagramblocklist:id=230791420;name=toddbarry
instagramblocklist:id=243370769;name=itsbennyblanco
instagramblocklist:id=1906037;name=pizzahut
instagramblocklist:id=45844180803;name=eatatchain
instagramblocklist:id=51291163095;name=officialsusieessman
instagramblocklist:id=1388616132;name=nathanmacintosh
instagramblocklist:id=3245499742;name=johnnyknoxville
instagramblocklist:id=50330199353;name=john___squire
instagramblocklist:id=55711122;name=ella_purnell
instagramblocklist:id=5557969913;name=bensonboone
instagramblocklist:id=201127489;name=nicolerichie
instagramblocklist:id=4810832;name=teamcoco
instagramblocklist:id=302393213;name=heartofficial
instagramblocklist:id=266042468;name=kaiagerber
instagramblocklist:id=177970183;name=davidbagus
instagramblocklist:id=2210613601;name=realchristianslater
instagramblocklist:id=3220874464;name=kaliii
instagramblocklist:id=1053951499;name=alexedelman
instagramblocklist:id=48294181583;name=grupofrontera
instagramblocklist:id=5823675;name=maxmusic
instagramblocklist:id=59185391299;name=whostommyshow
instagramblocklist:id=20408484;name=mothecomedian
instagramblocklist:id=54779627724;name=fallonbookclub
instagramblocklist:id=226344817;name=unistudios
instagramblocklist:id=61964890686;name=hellskitchenbway
instagramblocklist:id=6154552259;name=maleahjoimoon
instagramblocklist:id=259611755;name=tonygoldwyn
instagramblocklist:id=15955143;name=mrbradybaby
instagramblocklist:id=20850338;name=mslesliebibb
instagramblocklist:id=21652852035;name=theblackcrowes
instagramblocklist:id=1698392016;name=kimbalmusk
instagramblocklist:id=268117158;name=rayparkerjr
instagramblocklist:id=200944455;name=nojo18
instagramblocklist:id=49271382637;name=erniehudsonofficial
instagramblocklist:id=5385922;name=spaceykacey
instagramblocklist:id=440361794;name=benharper
instagramblocklist:id=6311177309;name=mitchrowland
instagramblocklist:id=1529484498;name=noel_fielding
instagramblocklist:id=832397222;name=carriecoon
instagramblocklist:id=52579942901;name=peytonmanning
instagramblocklist:id=5606159200;name=miketiriconbc
instagramblocklist:id=214770726;name=peopleschoice
instagramblocklist:id=8293542902;name=officialblueytv
instagramblocklist:id=25030265;name=boygeorgeofficial
instagramblocklist:id=198945880;name=schwarzenegger
instagramblocklist:id=5476836065;name=kermitthefrog
instagramblocklist:id=674246861;name=themuppets
instagramblocklist:id=672003023;name=realmisspiggy
instagramblocklist:id=380582503;name=sophiastallone
instagramblocklist:id=18650335;name=sistinestallone
instagramblocklist:id=199877967;name=scarletstallone
instagramblocklist:id=11046992;name=gaby_moreno
instagramblocklist:id=213176273;name=garyvider
instagramblocklist:id=181629970;name=funnymanmikejames
instagramblocklist:id=16624328184;name=jonniewcomedy
instagramblocklist:id=23118496;name=julianmccullough
instagramblocklist:id=6644986658;name=stephenbargatze
instagramblocklist:id=190459899;name=lilygladstone
instagramblocklist:id=8664791281;name=zarnagarg
instagramblocklist:id=1794650052;name=eddieizzard
instagramblocklist:id=211427016;name=alaquacox
instagramblocklist:id=1058837031;name=bush
instagramblocklist:id=357605612;name=chrisbriney_
instagramblocklist:id=208612324;name=billiejoearmstrong
instagramblocklist:id=15709554;name=trecool
instagramblocklist:id=208623530;name=mikedirnt
instagramblocklist:id=391198290;name=greenday
instagramblocklist:id=217721028;name=officialmelb
instagramblocklist:id=4837345071;name=jhutch1992
instagramblocklist:id=229152500;name=arianamadix
instagramblocklist:id=455596;name=m10penny
instagramblocklist:id=206792215;name=macfarlaneseth
instagramblocklist:id=696011801;name=ramones
instagramblocklist:id=8597116610;name=bobdylan
instagramblocklist:id=6695130624;name=thepoguesofficial
instagramblocklist:id=1731646620;name=bookertjonesmusic
instagramblocklist:id=29009227;name=tacobell
instagramblocklist:id=529798290;name=statefarm
instagramblocklist:id=20698621;name=iheartradio
instagramblocklist:id=53387587;name=empirestatebldg
instagramblocklist:id=8602326746;name=kellyclarksonshow
instagramblocklist:id=40889355;name=bowedtie
instagramblocklist:id=447488556;name=bradpaisley
instagramblocklist:id=7415790;name=thefumiabe
instagramblocklist:id=63193068553;name=iammai287
instagramblocklist:id=14985917;name=avatarphill
instagramblocklist:id=51420406289;name=paulbunyan_ish
instagramblocklist:id=717950715;name=carinleonoficial
instagramblocklist:id=7734227190;name=mrjoncryer
instagramblocklist:id=53719318321;name=dogstarband
instagramblocklist:id=203937826;name=benkrogo
instagramblocklist:id=29560069;name=rebeccabshaw
instagramblocklist:id=45318247443;name=carbonefinefood
instagramblocklist:id=17098380293;name=mariocarbone
instagramblocklist:id=47475673895;name=knowbeauty
instagramblocklist:id=38982698787;name=zoaenergy
instagramblocklist:id=199384139;name=bareminerals
instagramblocklist:id=52936674180;name=buywithprime
instagramblocklist:id=26791412338;name=beekmansociety
instagramblocklist:id=5430871299;name=gsd_workingk9_sadie
instagramblocklist:id=2252696351;name=sterlingkbrown
instagramblocklist:id=26832639;name=davido
instagramblocklist:id=324091383;name=tinafriml
instagramblocklist:id=3006476779;name=thumpasaurusmusic
instagramblocklist:id=7588123;name=cheftimhollingsworth
instagramblocklist:id=522702268;name=rachelzegler
instagramblocklist:id=15900873;name=taikawaititi
instagramblocklist:id=34352233;name=inglewoodsir
instagramblocklist:id=54748862;name=kingofbingo
instagramblocklist:id=60018659687;name=spamalotbway
instagramblocklist:id=7045418327;name=chrisolsen
instagramblocklist:id=25016756;name=catpowerofficial
instagramblocklist:id=7068501822;name=blackpumas
instagramblocklist:id=54284618;name=mattrife
instagramblocklist:id=10865333;name=brittneyspencer
instagramblocklist:id=7301388472;name=pleasedontdestroy
instagramblocklist:id=1131049833;name=tyla
instagramblocklist:id=7724737754;name=johntravolta
instagramblocklist:id=5881717724;name=pedro.tovar007
instagramblocklist:id=1059934095;name=gabitoballesteros
instagramblocklist:id=622792689;name=timgrover
instagramblocklist:id=2191669266;name=jorjasmith_
instagramblocklist:id=307164526;name=resrieriao
instagramblocklist:id=275568656;name=annaleighashford
instagramblocklist:id=421856741;name=depechemode
instagramblocklist:id=25464213;name=alexandracooper
instagramblocklist:id=1693841917;name=joeljameslive
instagramblocklist:id=1042670928;name=bleachersmusic
instagramblocklist:id=20743323;name=caileespaeny
instagramblocklist:id=195573714;name=bobbyflay
instagramblocklist:id=2246978464;name=stevemillerband
instagramblocklist:id=230916979;name=thebeatles
instagramblocklist:id=53135245541;name=fallontonightbts
instagramblocklist:id=48928947;name=taylautner
instagramblocklist:id=225526685;name=raye
instagramblocklist:id=605650611;name=leslieodomjr
instagramblocklist:id=1311923128;name=feistmusic
instagramblocklist:id=177937673;name=jaredfreid
instagramblocklist:id=202959624;name=david.kushner
instagramblocklist:id=1577270491;name=alexanderstewart
instagramblocklist:id=3693712;name=ianlaralive
instagramblocklist:id=2198379;name=erynallenkane
instagramblocklist:id=21606869;name=paramore
instagramblocklist:id=14805513;name=yelyahwilliams
instagramblocklist:id=426565287;name=williegeist
instagramblocklist:id=22489430;name=jellyroll615
instagramblocklist:id=1720453989;name=gerihalliwellhorner
instagramblocklist:id=1347752738;name=officialkeef
instagramblocklist:id=1354989975;name=ronniewood
instagramblocklist:id=7575582828;name=pppiccioli
instagramblocklist:id=61493386937;name=strikeforcefive
instagramblocklist:id=31770081691;name=spotifypodcasts
instagramblocklist:id=3134731099;name=mintmobile
instagramblocklist:id=2270378534;name=diageo
instagramblocklist:id=5088305755;name=kylegordonisgreat
instagramblocklist:id=6315441891;name=paulrussell
instagramblocklist:id=24656948;name=daniellejonas
instagramblocklist:id=49819366;name=jblaudio
instagramblocklist:id=1149958726;name=yankeestadium
instagramblocklist:id=276396084;name=dorindamedley
instagramblocklist:id=49596076752;name=supershy__
instagramblocklist:id=181321220;name=tommisch
instagramblocklist:id=25519723385;name=officialrobertaflack
instagramblocklist:id=5642604277;name=diegogonzalez_music
instagramblocklist:id=17045635;name=nannabh
instagramblocklist:id=50326975911;name=agustd
instagramblocklist:id=3785919;name=rosie

